year,idleshare_all_all,onlyworkshare_all_all,onlyschoolshare_all_all,bothshare_all_all,idleshare_male_all,onlyworkshare_male_all,onlyschoolshare_male_all,bothshare_male_all,idleshare_fem_all,onlyworkshare_fem_all,onlyschoolshare_fem_all,bothshare_fem_all,idleshare_all_white,onlyworkshare_all_white,onlyschoolshare_all_white,bothshare_all_white,idleshare_all_black,onlyworkshare_all_black,onlyschoolshare_all_black,bothshare_all_black,idleshare_all_hisp,onlyworkshare_all_hisp,onlyschoolshare_all_hisp,bothshare_all_hisp,idleshare_male_white,onlyworkshare_male_white,onlyschoolshare_male_white,bothshare_male_white,idleshare_male_black,onlyworkshare_male_black,onlyschoolshare_male_black,bothshare_male_black,idleshare_male_hisp,onlyworkshare_male_hisp,onlyschoolshare_male_hisp,bothshare_male_hisp,idleshare_fem_white,onlyworkshare_fem_white,onlyschoolshare_fem_white,bothshare_fem_white,idleshare_fem_black,onlyworkshare_fem_black,onlyschoolshare_fem_black,bothshare_fem_black,idleshare_fem_hisp,onlyworkshare_fem_hisp,onlyschoolshare_fem_hisp,bothshare_fem_hisp
2000,0.05350171,0.161607265,0.448071301,0.336819738,0.042477116,0.176546752,0.456813276,0.324162841,0.064961568,0.146077961,0.438984156,0.349976331,0.037326593,0.155178457,0.410858124,0.396636814,0.085869014,0.144352779,0.537167907,0.2326103,0.091459312,0.229309872,0.453164965,0.226065859,0.029125933,0.167603746,0.424045533,0.379224807,0.091485515,0.14168106,0.543137193,0.223696247,0.052993625,0.271797448,0.445129603,0.230079323,0.045731589,0.142443553,0.397342145,0.414482713,0.080342479,0.146981686,0.531294286,0.241381556,0.134540081,0.181724682,0.462164372,0.221570864
2001,0.054657277,0.158135995,0.46518898,0.322017729,0.043001801,0.173659116,0.476449937,0.306889147,0.066778131,0.141993091,0.453478396,0.337750375,0.039648745,0.148346528,0.434740037,0.377264708,0.087342888,0.14435342,0.553003073,0.215300649,0.087222941,0.236272693,0.443186432,0.233317927,0.032727581,0.160686776,0.451699823,0.354885817,0.088245936,0.13833119,0.566771269,0.206651598,0.047756437,0.285936654,0.433631271,0.232675642,0.046830416,0.135541812,0.417141885,0.400485873,0.086445026,0.150341049,0.539313972,0.22389999,0.130045444,0.182385609,0.453554124,0.234014824
2002,0.055384483,0.150106624,0.487476557,0.307032347,0.046158452,0.168939099,0.499345779,0.285556674,0.064976975,0.130526111,0.475135893,0.329361022,0.04005136,0.138574004,0.457895875,0.36347875,0.087873727,0.145219773,0.564526558,0.202379942,0.087143168,0.218373328,0.482931942,0.211551547,0.03507898,0.149057791,0.47744602,0.338417232,0.087239668,0.159819245,0.567384243,0.185556859,0.052119728,0.27848056,0.476330996,0.193068713,0.045205258,0.127707526,0.437632084,0.38945514,0.088501371,0.130768061,0.561697781,0.219032779,0.124705069,0.153909594,0.490011364,0.231373981
2003,0.052489441,0.132575646,0.520657599,0.294277281,0.043613881,0.149591252,0.531008899,0.275785983,0.06162044,0.115070343,0.510008454,0.313300759,0.039796676,0.126439109,0.485654324,0.348109871,0.074764632,0.118997954,0.606669843,0.199567556,0.083890162,0.186242148,0.538775384,0.191092312,0.032748893,0.138584286,0.501328766,0.32733804,0.073978774,0.124834277,0.622380793,0.178806156,0.058895878,0.233461097,0.528618693,0.179024339,0.047143016,0.113779455,0.469315886,0.369761646,0.075509764,0.113464125,0.591773212,0.219252914,0.110107712,0.136712208,0.549429178,0.203750908
2004,0.050230492,0.129024699,0.524760723,0.295984119,0.042134695,0.148418054,0.533635557,0.275811702,0.058574259,0.109037332,0.515614033,0.316774368,0.039215863,0.125277176,0.488011032,0.347495914,0.064150594,0.106983557,0.628854752,0.200011104,0.084346108,0.18039012,0.531413972,0.203849807,0.033758808,0.141683072,0.501619041,0.322939068,0.06387224,0.105726264,0.648272336,0.18212916,0.060601175,0.22859928,0.512546182,0.198253348,0.044899188,0.108191051,0.473838806,0.373070955,0.064417168,0.108187653,0.610258698,0.217136458,0.109273538,0.129780129,0.551221371,0.209724963
2005,0.051116589,0.123074688,0.526768208,0.299040496,0.044144537,0.136799932,0.536523819,0.282531708,0.058292281,0.108948551,0.516727686,0.316031456,0.038746104,0.113566123,0.494503677,0.353184074,0.069638588,0.129058555,0.606412232,0.194890603,0.082044773,0.169151053,0.537236869,0.211567312,0.034766182,0.123285502,0.510555029,0.331393301,0.068485364,0.132673874,0.608641386,0.190199375,0.05848844,0.208519295,0.532032669,0.200959593,0.042879071,0.103473,0.477835119,0.375812829,0.070744321,0.125592098,0.604274929,0.199388668,0.106713727,0.127923369,0.54268682,0.222676054
2006,0.050319675,0.126445726,0.531038165,0.292196423,0.042920079,0.14433603,0.539520323,0.273223579,0.057936098,0.108031221,0.522307456,0.311725199,0.03807497,0.118124358,0.497916043,0.345884651,0.064514436,0.119417757,0.604215086,0.211852729,0.079474732,0.181336045,0.539013207,0.200175986,0.033924039,0.13292335,0.51176697,0.321385652,0.060342215,0.123373374,0.625432789,0.190851629,0.053340029,0.229211211,0.526633084,0.190815657,0.042397037,0.102715239,0.483494043,0.371393681,0.068503559,0.115635738,0.583928525,0.231932193,0.106722772,0.131421402,0.551920772,0.209935069
2007,0.052843507,0.124256037,0.545654714,0.27724576,0.045916829,0.140636459,0.55465281,0.25879392,0.059980385,0.107378542,0.53638351,0.296257555,0.04183073,0.117036819,0.515225649,0.325906783,0.063966312,0.115978152,0.63139981,0.188655734,0.080710024,0.173182011,0.540341735,0.205766216,0.038697239,0.129434362,0.532507002,0.299361408,0.056559529,0.12603502,0.639943302,0.177462131,0.060880672,0.209540904,0.527977586,0.20160085,0.045099832,0.104102738,0.497196466,0.353600979,0.071225837,0.10612122,0.623026133,0.199626788,0.101443775,0.135164812,0.553269863,0.210121572
2008,0.05505256,0.118719317,0.560508132,0.26572001,0.047135074,0.137691319,0.571420789,0.243752837,0.063200243,0.099195726,0.5492782,0.288325846,0.042660024,0.114792414,0.530998945,0.31154862,0.078420036,0.109377734,0.629566312,0.182635903,0.079902828,0.15410541,0.561792433,0.204199329,0.039382529,0.131559089,0.547964215,0.281094164,0.072698273,0.11859905,0.643807173,0.164895475,0.053797051,0.191873714,0.555371702,0.198957562,0.046057973,0.097409561,0.513410211,0.343122274,0.084065333,0.100279644,0.615515769,0.200139254,0.107141912,0.114697501,0.568491936,0.209668651
2009,0.054876994,0.113574401,0.585612416,0.245936185,0.05005496,0.128686458,0.593451917,0.227806687,0.059837949,0.098026983,0.577547073,0.264587969,0.043657634,0.110094108,0.552162111,0.294086158,0.07126911,0.106820598,0.657096028,0.164814264,0.078955121,0.144163951,0.590270519,0.18661043,0.042116553,0.123897605,0.565900922,0.268084943,0.066150092,0.113098338,0.66844064,0.152310908,0.063568652,0.171628371,0.580972314,0.183830664,0.045259148,0.095749341,0.537884533,0.32110697,0.076208681,0.100762926,0.646149039,0.176879346,0.094964571,0.11558754,0.599945128,0.189502761
