,year,idleshare_all_all_summer,onlyschoolshare_all_all_summer,onlyworkshare_all_all_summer,bothshare_all_all_summer,idleshare_male_all_summer,onlyschoolshare_male_all_summer,onlyworkshare_male_all_summer,bothshare_male_all_summer,idleshare_fem_all_summer,onlyschoolshare_fem_all_summer,onlyworkshare_fem_all_summer,bothshare_fem_all_summer,idleshare_all_white_summer,onlyschoolshare_all_white_summer,onlyworkshare_all_white_summer,bothshare_all_white_summer,idleshare_all_black_summer,onlyschoolshare_all_black_summer,onlyworkshare_all_black_summer,bothshare_all_black_summer,idleshare_all_hisp_summer,onlyschoolshare_all_hisp_summer,onlyworkshare_all_hisp_summer,bothshare_all_hisp_summer,idleshare_male_white_summer,onlyschoolshare_male_white_summer,onlyworkshare_male_white_summer,bothshare_male_white_summer,idleshare_male_black_summer,onlyschoolshare_male_black_summer,onlyworkshare_male_black_summer,bothshare_male_black_summer,idleshare_male_hisp_summer,onlyschoolshare_male_hisp_summer,onlyworkshare_male_hisp_summer,bothshare_male_hisp_summer,idleshare_fem_white_summer,onlyschoolshare_fem_white_summer,onlyworkshare_fem_white_summer,bothshare_fem_white_summer,idleshare_fem_black_summer,onlyschoolshare_fem_black_summer,onlyworkshare_fem_black_summer,bothshare_fem_black_summer,idleshare_fem_hisp_summer,onlyschoolshare_fem_hisp_summer,onlyworkshare_fem_hisp_summer,bothshare_fem_hisp_summer,idleshare_all_all_ay,onlyschoolshare_all_all_ay,onlyworkshare_all_all_ay,bothshare_all_all_ay,idleshare_male_all_ay,onlyschoolshare_male_all_ay,onlyworkshare_male_all_ay,bothshare_male_all_ay,idleshare_fem_all_ay,onlyschoolshare_fem_all_ay,onlyworkshare_fem_all_ay,bothshare_fem_all_ay,idleshare_all_white_ay,onlyschoolshare_all_white_ay,onlyworkshare_all_white_ay,bothshare_all_white_ay,idleshare_all_black_ay,onlyschoolshare_all_black_ay,onlyworkshare_all_black_ay,bothshare_all_black_ay,idleshare_all_hisp_ay,onlyschoolshare_all_hisp_ay,onlyworkshare_all_hisp_ay,bothshare_all_hisp_ay,idleshare_male_white_ay,onlyschoolshare_male_white_ay,onlyworkshare_male_white_ay,bothshare_male_white_ay,idleshare_male_black_ay,onlyschoolshare_male_black_ay,onlyworkshare_male_black_ay,bothshare_male_black_ay,idleshare_male_hisp_ay,onlyschoolshare_male_hisp_ay,onlyworkshare_male_hisp_ay,bothshare_male_hisp_ay,idleshare_fem_white_ay,onlyschoolshare_fem_white_ay,onlyworkshare_fem_white_ay,bothshare_fem_white_ay,idleshare_fem_black_ay,onlyschoolshare_fem_black_ay,onlyworkshare_fem_black_ay,bothshare_fem_black_ay,idleshare_fem_hisp_ay,onlyschoolshare_fem_hisp_ay,onlyworkshare_fem_hisp_ay,bothshare_fem_hisp_ay
1,2000,0.2005409,0.198669508,0.435789198,0.165000394,0.18709293,0.195706278,0.463746578,0.153454199,0.214407817,0.201725051,0.406960845,0.176906303,0.171956748,0.154738292,0.490525842,0.182779104,0.235537738,0.294398338,0.316846311,0.153217599,0.265567183,0.239594087,0.380687982,0.114150748,0.159885168,0.153186053,0.515273035,0.171655774,0.247948244,0.307285637,0.305293024,0.139473096,0.21727705,0.221485794,0.460978806,0.100258358,0.184378996,0.156335637,0.465059817,0.194225565,0.223274976,0.281664491,0.328262061,0.166798472,0.319087207,0.259663552,0.291701496,0.129547715,0.05350171,0.448071301,0.161607265,0.336819738,0.042477116,0.456813276,0.176546752,0.324162841,0.064961568,0.438984156,0.146077961,0.349976331,0.037326593,0.410858124,0.155178457,0.396636814,0.085869014,0.537167907,0.144352779,0.2326103,0.091459312,0.453164965,0.229309872,0.226065859,0.029125933,0.424045533,0.167603746,0.379224807,0.091485515,0.543137193,0.14168106,0.223696247,0.052993625,0.445129603,0.271797448,0.230079323,0.045731589,0.397342145,0.142443553,0.414482713,0.080342479,0.531294286,0.146981686,0.241381556,0.134540081,0.462164372,0.181724682,0.221570864
2,2001,0.189224645,0.238348365,0.391144305,0.181282684,0.182723686,0.236783415,0.411533743,0.168959156,0.195943758,0.239965811,0.370070726,0.19401972,0.168280929,0.190655068,0.439079136,0.201984867,0.214198336,0.345630258,0.283908784,0.156262621,0.226219401,0.279585153,0.363165796,0.131029651,0.164878607,0.189055696,0.454066187,0.19199951,0.225508079,0.3645778,0.273110986,0.13680315,0.187918395,0.270418167,0.429790795,0.111872666,0.171824664,0.192320928,0.423469186,0.212385237,0.203112572,0.327057958,0.294492751,0.175336719,0.267592698,0.289487481,0.291196525,0.15172331,0.054657277,0.46518898,0.158135995,0.322017729,0.043001801,0.476449937,0.173659116,0.306889147,0.066778131,0.453478396,0.141993091,0.337750375,0.039648745,0.434740037,0.148346528,0.377264708,0.087342888,0.553003073,0.14435342,0.215300649,0.087222941,0.443186432,0.236272693,0.233317927,0.032727581,0.451699823,0.160686776,0.354885817,0.088245936,0.566771269,0.13833119,0.206651598,0.047756437,0.433631271,0.285936654,0.232675642,0.046830416,0.417141885,0.135541812,0.400485873,0.086445026,0.539313972,0.150341049,0.22389999,0.130045444,0.453554124,0.182385609,0.234014824
3,2002,0.187962204,0.255881339,0.371332854,0.184823573,0.177128121,0.265906632,0.38175267,0.175212562,0.199261084,0.245425954,0.360466033,0.194846928,0.163811848,0.218038902,0.408102155,0.210047111,0.233922005,0.334733754,0.29105109,0.140293151,0.231253862,0.295800596,0.338405252,0.134540305,0.162110895,0.226585984,0.411041737,0.200261369,0.225081712,0.3525244,0.294807494,0.127586409,0.183050931,0.298391163,0.391545057,0.127012834,0.165579975,0.209154204,0.405046433,0.220219389,0.242472798,0.317525685,0.28741771,0.152583793,0.282554448,0.293043524,0.281850487,0.142551526,0.055384483,0.487476557,0.150106624,0.307032347,0.046158452,0.499345779,0.168939099,0.285556674,0.064976975,0.475135893,0.130526111,0.329361022,0.04005136,0.457895875,0.138574004,0.36347875,0.087873727,0.564526558,0.145219773,0.202379942,0.087143168,0.482931942,0.218373328,0.211551547,0.03507898,0.47744602,0.149057791,0.338417232,0.087239668,0.567384243,0.159819245,0.185556859,0.052119728,0.476330996,0.27848056,0.193068713,0.045205258,0.437632084,0.127707526,0.38945514,0.088501371,0.561697781,0.130768061,0.219032779,0.124705069,0.490011364,0.153909594,0.231373981
4,2003,0.20528315,0.271640301,0.351574063,0.171502501,0.195784837,0.269944727,0.371062249,0.163208187,0.215057701,0.273385197,0.331519067,0.18003805,0.183202088,0.227995679,0.393713474,0.195088759,0.253670275,0.364229411,0.260986894,0.121113427,0.236388296,0.324592441,0.297749549,0.141269714,0.173957944,0.228715256,0.411435246,0.185891554,0.262712002,0.372911185,0.251032859,0.113343969,0.208587393,0.30756104,0.3477723,0.136079252,0.192823708,0.227246717,0.375268072,0.204661489,0.245132968,0.356032014,0.270385593,0.12844944,0.26553148,0.342446178,0.245311558,0.146710783,0.052489441,0.520657599,0.132575646,0.294277281,0.043613881,0.531008899,0.149591252,0.275785983,0.06162044,0.510008454,0.115070343,0.313300759,0.039796676,0.485654324,0.126439109,0.348109871,0.074764632,0.606669843,0.118997954,0.199567556,0.083890162,0.538775384,0.186242148,0.191092312,0.032748893,0.501328766,0.138584286,0.32733804,0.073978774,0.622380793,0.124834277,0.178806156,0.058895878,0.528618693,0.233461097,0.179024339,0.047143016,0.469315886,0.113779455,0.369761646,0.075509764,0.591773212,0.113464125,0.219252914,0.110107712,0.549429178,0.136712208,0.203750908
5,2004,0.195139602,0.290699601,0.333730489,0.180430293,0.186427206,0.290631741,0.35179612,0.171144947,0.204118788,0.290769547,0.315111667,0.189999998,0.174727097,0.248518035,0.372043639,0.204711214,0.24142018,0.363019854,0.261018068,0.134541899,0.227604955,0.337592274,0.29156065,0.143242136,0.173109576,0.250126004,0.385355264,0.191409141,0.237882018,0.380342722,0.252882987,0.128892258,0.186716154,0.318163097,0.355665833,0.139454931,0.176410779,0.246844307,0.358187675,0.218557268,0.244878903,0.346085817,0.268970549,0.140064731,0.270516366,0.357982516,0.224284425,0.147216693,0.050230492,0.524760723,0.129024699,0.295984119,0.042134695,0.533635557,0.148418054,0.275811702,0.058574259,0.515614033,0.109037332,0.316774368,0.039215863,0.488011032,0.125277176,0.347495914,0.064150594,0.628854752,0.106983557,0.200011104,0.084346108,0.531413972,0.18039012,0.203849807,0.033758808,0.501619041,0.141683072,0.322939068,0.06387224,0.648272336,0.105726264,0.18212916,0.060601175,0.512546182,0.22859928,0.198253348,0.044899188,0.473838806,0.108191051,0.373070955,0.064417168,0.610258698,0.108187653,0.217136458,0.109273538,0.551221371,0.129780129,0.209724963
6,2005,0.211435065,0.266731173,0.348343909,0.173489869,0.199795738,0.280458212,0.36023131,0.159514725,0.223412171,0.252605736,0.336111516,0.187870562,0.188466027,0.224197686,0.391279787,0.1960565,0.249482125,0.335273176,0.273507357,0.141737342,0.257250041,0.325163662,0.292420954,0.125165313,0.182284459,0.24349995,0.395110995,0.179104596,0.239196882,0.344182581,0.278747588,0.137872949,0.223122239,0.330469221,0.336860687,0.109547846,0.194889948,0.204138681,0.387298375,0.21367301,0.259535402,0.326564729,0.268385291,0.145514593,0.292987525,0.319607854,0.245885223,0.141519397,0.051116589,0.526768208,0.123074688,0.299040496,0.044144537,0.536523819,0.136799932,0.282531708,0.058292281,0.516727686,0.108948551,0.316031456,0.038746104,0.494503677,0.113566123,0.353184074,0.069638588,0.606412232,0.129058555,0.194890603,0.082044773,0.537236869,0.169151053,0.211567312,0.034766182,0.510555029,0.123285502,0.331393301,0.068485364,0.608641386,0.132673874,0.190199375,0.05848844,0.532032669,0.208519295,0.200959593,0.042879071,0.477835119,0.103473,0.375812829,0.070744321,0.604274929,0.125592098,0.199388668,0.106713727,0.54268682,0.127923369,0.222676054
7,2006,0.202411518,0.276367933,0.340305001,0.180915549,0.195888355,0.275952995,0.361898631,0.166260034,0.209125787,0.27679503,0.318078727,0.196000457,0.176771954,0.232113674,0.380693972,0.2104204,0.23550494,0.352705121,0.27619487,0.135595068,0.247767299,0.334714413,0.291837722,0.125680566,0.179760352,0.233773306,0.393643945,0.192822412,0.228669882,0.362137288,0.287960857,0.121231966,0.204424158,0.329145312,0.350191385,0.116239153,0.173653409,0.230381772,0.367180049,0.22878477,0.242120862,0.343575358,0.264806062,0.149497718,0.292986542,0.340524554,0.230958238,0.135530666,0.050319675,0.531038165,0.126445726,0.292196423,0.042920079,0.539520323,0.14433603,0.273223579,0.057936098,0.522307456,0.108031221,0.311725199,0.03807497,0.497916043,0.118124358,0.345884651,0.064514436,0.604215086,0.119417757,0.211852729,0.079474732,0.539013207,0.181336045,0.200175986,0.033924039,0.51176697,0.13292335,0.321385652,0.060342215,0.625432789,0.123373374,0.190851629,0.053340029,0.526633084,0.229211211,0.190815657,0.042397037,0.483494043,0.102715239,0.371393681,0.068503559,0.583928525,0.115635738,0.231932193,0.106722772,0.551920772,0.131421402,0.209935069
8,2007,0.194461018,0.319508135,0.298167139,0.187863722,0.186277419,0.32280466,0.316549003,0.174368918,0.202893034,0.316111535,0.279227316,0.201768115,0.178326949,0.2691544,0.333447278,0.219071388,0.220123515,0.414961189,0.227635369,0.137279943,0.211792335,0.387519807,0.26481387,0.135873988,0.174356386,0.275848031,0.349029869,0.200765729,0.221993566,0.431448668,0.217687905,0.128869846,0.180060089,0.375621617,0.313946575,0.13037172,0.182476252,0.262159407,0.317163169,0.238201171,0.218340382,0.399240166,0.23712039,0.145299062,0.244977117,0.399962634,0.213432133,0.141628116,0.052843507,0.545654714,0.124256037,0.27724576,0.045916829,0.55465281,0.140636459,0.25879392,0.059980385,0.53638351,0.107378542,0.296257555,0.04183073,0.515225649,0.117036819,0.325906783,0.063966312,0.63139981,0.115978152,0.188655734,0.080710024,0.540341735,0.173182011,0.205766216,0.038697239,0.532507002,0.129434362,0.299361408,0.056559529,0.639943302,0.12603502,0.177462131,0.060880672,0.527977586,0.209540904,0.20160085,0.045099832,0.497196466,0.104102738,0.353600979,0.071225837,0.623026133,0.10612122,0.199626788,0.101443775,0.553269863,0.135164812,0.210121572
9,2008,0.198284253,0.323930502,0.292464048,0.185321212,0.191534281,0.319124728,0.310761988,0.178578988,0.205229759,0.328875482,0.273636013,0.19225876,0.178553134,0.287362069,0.320821077,0.21326372,0.229475901,0.392180741,0.246188134,0.132155225,0.231124014,0.355542481,0.267404944,0.145928547,0.177990139,0.283385903,0.337671787,0.200952157,0.242140532,0.384623885,0.251669437,0.121566124,0.188861132,0.350702137,0.305027872,0.155408844,0.179141372,0.291516632,0.303214282,0.226127714,0.217035338,0.399603873,0.240803808,0.142556965,0.275222749,0.360593081,0.22814773,0.136036426,0.05505256,0.560508132,0.118719317,0.26572001,0.047135074,0.571420789,0.137691319,0.243752837,0.063200243,0.5492782,0.099195726,0.288325846,0.042660024,0.530998945,0.114792414,0.31154862,0.078420036,0.629566312,0.109377734,0.182635903,0.079902828,0.561792433,0.15410541,0.204199329,0.039382529,0.547964215,0.131559089,0.281094164,0.072698273,0.643807173,0.11859905,0.164895475,0.053797051,0.555371702,0.191873714,0.198957562,0.046057973,0.513410211,0.097409561,0.343122274,0.084065333,0.615515769,0.100279644,0.200139254,0.107141912,0.568491936,0.114697501,0.209668651
10,2009,0.199367061,0.351242691,0.271559656,0.177830607,0.196101606,0.354293972,0.285262793,0.164341629,0.20272693,0.348103136,0.257460326,0.191709593,0.182557374,0.309204608,0.30542165,0.202816367,0.234573707,0.424643844,0.196085379,0.14469707,0.216289669,0.388172299,0.251163244,0.144374788,0.1827683,0.315738261,0.316812187,0.184681267,0.243316934,0.445789903,0.193553478,0.117339678,0.190101162,0.379566759,0.278290927,0.152041137,0.182337418,0.302391171,0.293543309,0.221728131,0.226246759,0.404504567,0.198496729,0.170751944,0.243539006,0.397126436,0.222936675,0.136397883,0.054876994,0.585612416,0.113574401,0.245936185,0.05005496,0.593451917,0.128686458,0.227806687,0.059837949,0.577547073,0.098026983,0.264587969,0.043657634,0.552162111,0.110094108,0.294086158,0.07126911,0.657096028,0.106820598,0.164814264,0.078955121,0.590270519,0.144163951,0.18661043,0.042116553,0.565900922,0.123897605,0.268084943,0.066150092,0.66844064,0.113098338,0.152310908,0.063568652,0.580972314,0.171628371,0.183830664,0.045259148,0.537884533,0.095749341,0.32110697,0.076208681,0.646149039,0.100762926,0.176879346,0.094964571,0.599945128,0.11558754,0.189502761
