year,idleshare_all_all,onlyworkshare_all_all,onlyschoolshare_all_all,bothshare_all_all,idleshare_male_all,onlyworkshare_male_all,onlyschoolshare_male_all,bothshare_male_all,idleshare_fem_all,onlyworkshare_fem_all,onlyschoolshare_fem_all,bothshare_fem_all,idleshare_all_white,onlyworkshare_all_white,onlyschoolshare_all_white,bothshare_all_white,idleshare_all_black,onlyworkshare_all_black,onlyschoolshare_all_black,bothshare_all_black,idleshare_all_hisp,onlyworkshare_all_hisp,onlyschoolshare_all_hisp,bothshare_all_hisp,idleshare_male_white,onlyworkshare_male_white,onlyschoolshare_male_white,bothshare_male_white,idleshare_male_black,onlyworkshare_male_black,onlyschoolshare_male_black,bothshare_male_black,idleshare_male_hisp,onlyworkshare_male_hisp,onlyschoolshare_male_hisp,bothshare_male_hisp,idleshare_fem_white,onlyworkshare_fem_white,onlyschoolshare_fem_white,bothshare_fem_white,idleshare_fem_black,onlyworkshare_fem_black,onlyschoolshare_fem_black,bothshare_fem_black,idleshare_fem_hisp,onlyworkshare_fem_hisp,onlyschoolshare_fem_hisp,bothshare_fem_hisp
2000,0.2005409,0.435789198,0.198669508,0.165000394,0.18709293,0.463746578,0.195706278,0.153454199,0.214407817,0.406960845,0.201725051,0.176906303,0.171956748,0.490525842,0.154738292,0.182779104,0.235537738,0.316846311,0.294398338,0.153217599,0.265567183,0.380687982,0.239594087,0.114150748,0.159885168,0.515273035,0.153186053,0.171655774,0.247948244,0.305293024,0.307285637,0.139473096,0.21727705,0.460978806,0.221485794,0.100258358,0.184378996,0.465059817,0.156335637,0.194225565,0.223274976,0.328262061,0.281664491,0.166798472,0.319087207,0.291701496,0.259663552,0.129547715
2001,0.189224645,0.391144305,0.238348365,0.181282684,0.182723686,0.411533743,0.236783415,0.168959156,0.195943758,0.370070726,0.239965811,0.19401972,0.168280929,0.439079136,0.190655068,0.201984867,0.214198336,0.283908784,0.345630258,0.156262621,0.226219401,0.363165796,0.279585153,0.131029651,0.164878607,0.454066187,0.189055696,0.19199951,0.225508079,0.273110986,0.3645778,0.13680315,0.187918395,0.429790795,0.270418167,0.111872666,0.171824664,0.423469186,0.192320928,0.212385237,0.203112572,0.294492751,0.327057958,0.175336719,0.267592698,0.291196525,0.289487481,0.15172331
2002,0.187962204,0.371332854,0.255881339,0.184823573,0.177128121,0.38175267,0.265906632,0.175212562,0.199261084,0.360466033,0.245425954,0.194846928,0.163811848,0.408102155,0.218038902,0.210047111,0.233922005,0.29105109,0.334733754,0.140293151,0.231253862,0.338405252,0.295800596,0.134540305,0.162110895,0.411041737,0.226585984,0.200261369,0.225081712,0.294807494,0.3525244,0.127586409,0.183050931,0.391545057,0.298391163,0.127012834,0.165579975,0.405046433,0.209154204,0.220219389,0.242472798,0.28741771,0.317525685,0.152583793,0.282554448,0.281850487,0.293043524,0.142551526
2003,0.20528315,0.351574063,0.271640301,0.171502501,0.195784837,0.371062249,0.269944727,0.163208187,0.215057701,0.331519067,0.273385197,0.18003805,0.183202088,0.393713474,0.227995679,0.195088759,0.253670275,0.260986894,0.364229411,0.121113427,0.236388296,0.297749549,0.324592441,0.141269714,0.173957944,0.411435246,0.228715256,0.185891554,0.262712002,0.251032859,0.372911185,0.113343969,0.208587393,0.3477723,0.30756104,0.136079252,0.192823708,0.375268072,0.227246717,0.204661489,0.245132968,0.270385593,0.356032014,0.12844944,0.26553148,0.245311558,0.342446178,0.146710783
2004,0.195139602,0.333730489,0.290699601,0.180430293,0.186427206,0.35179612,0.290631741,0.171144947,0.204118788,0.315111667,0.290769547,0.189999998,0.174727097,0.372043639,0.248518035,0.204711214,0.24142018,0.261018068,0.363019854,0.134541899,0.227604955,0.29156065,0.337592274,0.143242136,0.173109576,0.385355264,0.250126004,0.191409141,0.237882018,0.252882987,0.380342722,0.128892258,0.186716154,0.355665833,0.318163097,0.139454931,0.176410779,0.358187675,0.246844307,0.218557268,0.244878903,0.268970549,0.346085817,0.140064731,0.270516366,0.224284425,0.357982516,0.147216693
2005,0.211435065,0.348343909,0.266731173,0.173489869,0.199795738,0.36023131,0.280458212,0.159514725,0.223412171,0.336111516,0.252605736,0.187870562,0.188466027,0.391279787,0.224197686,0.1960565,0.249482125,0.273507357,0.335273176,0.141737342,0.257250041,0.292420954,0.325163662,0.125165313,0.182284459,0.395110995,0.24349995,0.179104596,0.239196882,0.278747588,0.344182581,0.137872949,0.223122239,0.336860687,0.330469221,0.109547846,0.194889948,0.387298375,0.204138681,0.21367301,0.259535402,0.268385291,0.326564729,0.145514593,0.292987525,0.245885223,0.319607854,0.141519397
2006,0.202411518,0.340305001,0.276367933,0.180915549,0.195888355,0.361898631,0.275952995,0.166260034,0.209125787,0.318078727,0.27679503,0.196000457,0.176771954,0.380693972,0.232113674,0.2104204,0.23550494,0.27619487,0.352705121,0.135595068,0.247767299,0.291837722,0.334714413,0.125680566,0.179760352,0.393643945,0.233773306,0.192822412,0.228669882,0.287960857,0.362137288,0.121231966,0.204424158,0.350191385,0.329145312,0.116239153,0.173653409,0.367180049,0.230381772,0.22878477,0.242120862,0.264806062,0.343575358,0.149497718,0.292986542,0.230958238,0.340524554,0.135530666
2007,0.194461018,0.298167139,0.319508135,0.187863722,0.186277419,0.316549003,0.32280466,0.174368918,0.202893034,0.279227316,0.316111535,0.201768115,0.178326949,0.333447278,0.2691544,0.219071388,0.220123515,0.227635369,0.414961189,0.137279943,0.211792335,0.26481387,0.387519807,0.135873988,0.174356386,0.349029869,0.275848031,0.200765729,0.221993566,0.217687905,0.431448668,0.128869846,0.180060089,0.313946575,0.375621617,0.13037172,0.182476252,0.317163169,0.262159407,0.238201171,0.218340382,0.23712039,0.399240166,0.145299062,0.244977117,0.213432133,0.399962634,0.141628116
2008,0.198284253,0.292464048,0.323930502,0.185321212,0.191534281,0.310761988,0.319124728,0.178578988,0.205229759,0.273636013,0.328875482,0.19225876,0.178553134,0.320821077,0.287362069,0.21326372,0.229475901,0.246188134,0.392180741,0.132155225,0.231124014,0.267404944,0.355542481,0.145928547,0.177990139,0.337671787,0.283385903,0.200952157,0.242140532,0.251669437,0.384623885,0.121566124,0.188861132,0.305027872,0.350702137,0.155408844,0.179141372,0.303214282,0.291516632,0.226127714,0.217035338,0.240803808,0.399603873,0.142556965,0.275222749,0.22814773,0.360593081,0.136036426
2009,0.199367061,0.271559656,0.351242691,0.177830607,0.196101606,0.285262793,0.354293972,0.164341629,0.20272693,0.257460326,0.348103136,0.191709593,0.182557374,0.30542165,0.309204608,0.202816367,0.234573707,0.196085379,0.424643844,0.14469707,0.216289669,0.251163244,0.388172299,0.144374788,0.1827683,0.316812187,0.315738261,0.184681267,0.243316934,0.193553478,0.445789903,0.117339678,0.190101162,0.278290927,0.379566759,0.152041137,0.182337418,0.293543309,0.302391171,0.221728131,0.226246759,0.198496729,0.404504567,0.170751944,0.243539006,0.222936675,0.397126436,0.136397883
